EE3618 數位通訊應用
EE5623 語音處理
EE5735 開源式雛型系統與應用
GEAE2133 日治時期台灣文學與文化
GEAE2305 心理學應用與實踐
GEAI1007 創業講堂（二）
GEAI1011 地方敘事與遊戲
GEAI1510 海洋資源導論
GEAI1622 勞資事務概論
GEAI1624 當代中國經濟
GEHS101A 國文（一）
GEHS101B 國文（一）
GEHS101E 國文（一）
GEHS101F 國文（一）
GEHS101I 國文（一）
GEHS101S 國文（一）
GEHS101U 國文（一）
GEHS101W 國文（一）
GEHS101Y 國文（一）
GEHS102A 國文（二）
GEHS102B 國文（二）
GEHS102E 國文（二）
GEHS102F 國文（二）
GEHS102H 國文（二）
GEHS102K 國文（二）
GEHS102O 國文（二）
GEHS102Y 國文（二）
GEHS103A 國文（一）
GEHS103F 國文（一）
GEHS103G 國文（一）
GEHS103I 國文（一）
GEHS103Q 國文（一）
GEHS103S 國文（一）
GEHS104F 國文（二）
GEHS104G 國文（二）
GEHS104K 國文（二）
GEHS104N 國文（二）
GEHS104P 國文（二）
GEHS104Q 國文（二）
GEHS104R 國文（二）
GEHS104U 國文（二）
GESL208 服務學習（三）：美術館與服務學習
GESL216 服務學習（三）：弱勢兒少視訊教學服務
GESL221 服務學習（三）：海洋資源實務應用
GESL248 服務學習（三）：服務學習與提升就業力
GESL250 服務學習（三）：都市農園
GESL255 服務學習（三）：藝術數位管理與服務學習
GESL263 服務學習（三） ：光電探索
GESL273 服務學習（三）：長照政策與高齡化社會
MAEV113 海洋物理學概論
MAEV310 海洋生態學
MEME108 工程化學
PIS1203 姿態辨識導論
PIS1204 虛擬實境程式導論
PIS1205 感測器與定位
